Date,cut_50,cut_25,hold,hike_25,expected_rate_change_fomc,rate_uncertainty_fomc,probability_cut_fomc,probability_hike_fomc,entropy_fomc,us_recession,entropy_us_recession,change_1d,change_5d,cpi_<=2.7,cpi_2.8,cpi_2.9,cpi_>=3.0,expected_cpi,uncertainty_cpi,entropy_cpi
2025-09-19,0.044,0.835,0.115,0.0065,-22.912499999999998,10.545962975381858,0.879,0.0065,0.8215649281110756,0.065,0.34698128810061335,0.010000000000000002,-0.03,0.045,0.345,0.415,0.0425,2.4185,0.40541775599374036,1.4512220234185935
2025-09-20,0.0435,0.855,0.105,0.0055,-23.4125,10.166152180458937,0.8985,0.0055,0.7726732265410408,0.07,0.36592365090022333,0.0050000000000000044,-0.024999999999999994,0.06,0.34,0.42,0.0385,2.4475,0.3792393579587964,1.479265055122547
2025-09-21,0.044,0.855,0.105,0.0055,-23.4375,10.184036508643073,0.899,0.0055,0.7742091695327502,0.055,0.30726835986075973,-0.015000000000000006,-0.04,0.06,0.325,0.425,0.042,2.4305,0.395012497270656,1.4872506847805866
2025-09-22,0.041,0.855,0.105,0.0055,-23.2875,10.076201839762094,0.896,0.0055,0.7648671757094636,0.06,0.32744491915447627,0.0049999999999999975,-0.020000000000000004,0.06,0.325,0.425,0.04,2.4245,0.3996494870508404,1.4809193241724758
2025-09-23,0.041,0.835,0.125,0.0055,-22.7875,10.579111482805397,0.876,0.0055,0.822449297391002,0.06,0.32744491915447627,0.0,0.0049999999999999975,0.055,0.32,0.43,0.041,2.4145000000000003,0.409205292609956,1.4686791727035038
2025-09-24,0.0395,0.825,0.125,0.0055,-22.462500000000002,10.522631525371875,0.8644999999999999,0.0055,0.829399609165643,0.055,0.30726835986075973,-0.0049999999999999975,-0.010000000000000002,0.06,0.325,0.43,0.035,2.424,0.39944661720935876,1.4633592052370807
2025-09-25,0.0415,0.825,0.135,0.0055,-22.5625,10.830953725030405,0.8664999999999999,0.0055,0.8507771537145852,0.065,0.34698128810061335,0.010000000000000002,-0.0050000000000000044,0.055,0.335,0.44,0.026,2.4404999999999997,0.3847596054681418,1.4167410662137514
2025-09-26,0.036,0.795,0.165,0.0055,-21.5375,11.27583210274856,0.8310000000000001,0.0055,0.9059708368975765,0.065,0.34698128810061335,0.0,0.010000000000000002,0.09,0.325,0.46,0.022,2.553,0.2855812896532264,1.4761126355551477
2025-09-27,0.0375,0.805,0.155,0.0055,-21.8625,11.125533716130207,0.8425,0.0055,0.8877345766358724,0.065,0.34698128810061335,0.0,0.0050000000000000044,0.075,0.325,0.445,0.0215,2.4674999999999994,0.3596129733824968,1.4461704395688486
2025-09-28,0.0355,0.805,0.155,0.0055,-21.7625,11.053492667761173,0.8405,0.0055,0.8810676862177276,0.065,0.34698128810061335,0.0,0.0050000000000000044,0.075,0.335,0.445,0.023,2.5,0.3318132004607411,1.4538101055612667
2025-09-29,0.035,0.805,0.155,0.0055,-21.7375,11.035390940203477,0.8400000000000001,0.0055,0.8793759112247388,0.065,0.34698128810061335,0.0,0.010000000000000002,0.085,0.325,0.46,0.0185,2.529,0.3062233310837043,1.4511046265793712
2025-09-30,0.0325,0.805,0.155,0.0055,-21.6125,10.94432014505698,0.8375,0.0055,0.8707594021827327,0.065,0.34698128810061335,0.0,0.0,0.07,0.38,0.445,0.0075,2.566,0.2704057876599538,1.3717643160836386
2025-10-01,0.036,0.855,0.105,0.0055,-23.0375,9.893542508089558,0.891,0.0055,0.7485805864235715,0.065,0.34698128810061335,0.0,0.0,0.09,0.375,0.415,0.021,2.5595,0.27505774893647333,1.4868946280265705
2025-10-02,0.037,0.905,0.055,0.0055,-24.337500000000002,8.410076011286996,0.9420000000000001,0.0055,0.5777418590157459,0.055,0.30726835986075973,-0.010000000000000002,-0.010000000000000002,0.085,0.375,0.405,0.016,2.502,0.3236595804236298,1.4565075510992231
2025-10-03,0.038,0.895,0.065,0.0055,-24.1375,8.788217107119907,0.933,0.0055,0.6201217368224945,0.06,0.32744491915447627,0.0049999999999999975,-0.0050000000000000044,0.085,0.375,0.365,0.0275,2.4205,0.3921782287748771,1.5062257178369864
2025-10-04,0.0335,0.895,0.065,0.0045,-23.9375,8.47275551031068,0.9285,0.0045,0.5987793922833887,0.06,0.32744491915447627,0.0,-0.0050000000000000044,0.145,0.365,0.265,0.018,2.2359999999999998,0.5240867561768758,1.5467218854294156
2025-10-05,0.036,0.895,0.065,0.0045,-24.0625,8.571644865667558,0.931,0.0045,0.607290540823456,0.055,0.30726835986075973,-0.0049999999999999975,-0.010000000000000002,0.13,0.375,0.285,0.0335,2.3279999999999994,0.45815873231883336,1.5935483492466285
2025-10-06,0.0325,0.895,0.075,0.0045,-23.8875,8.764652437133488,0.9275,0.0045,0.6192509908619167,0.055,0.30726835986075973,0.0,-0.010000000000000002,0.125,0.39,0.315,0.0265,2.4225,0.3819202837307807,1.568571964030051
2025-10-07,0.0285,0.895,0.075,0.0045,-23.6875,8.60366995640523,0.9235,0.0045,0.604877442242998,0.06,0.32744491915447627,0.0049999999999999975,0.0049999999999999975,0.13,0.38,0.285,0.0295,2.3299999999999996,0.4556073419074809,1.5791750648084075
2025-10-08,0.0285,0.885,0.085,0.0035,-23.462500000000002,8.784905893775983,0.9135,0.0035,0.6331172402300413,0.055,0.30726835986075973,-0.0049999999999999975,-0.0049999999999999975,0.145,0.375,0.285,0.016,2.316,0.46250813614465214,1.546168874056842
2025-10-09,0.0235,0.895,0.085,0.0035,-23.462500000000002,8.58353167954485,0.9185,0.0035,0.601247199265692,0.06,0.32744491915447627,0.0049999999999999975,0.0,0.135,0.37,0.295,0.0245,2.3295000000000003,0.4554850942950819,1.5713990179766553
2025-10-10,0.022,0.905,0.075,0.0025,-23.6625,8.049422732601698,0.927,0.0025,0.5533511426252726,0.06,0.32744491915447627,0.0,0.0049999999999999975,0.145,0.37,0.265,0.0205,2.2575,0.5079179590494907,1.5573726797297303
2025-10-11,0.031,0.905,0.065,0.0025,-24.1125,8.081447150534055,0.936,0.0025,0.5636202622689794,0.065,0.34698128810061335,0.0050000000000000044,0.010000000000000002,0.095,0.395,0.325,0.02,2.3649999999999998,0.43184820828619874,1.4918038699205511
2025-10-12,0.0385,0.905,0.055,0.0025,-24.4875,8.024928747736643,0.9435,0.0025,0.5629937289655569,0.065,0.34698128810061335,0.0,0.0050000000000000044,0.125,0.385,0.34,0.0105,2.4329999999999994,0.37187670604650724,1.503366955443798
2025-10-13,0.031,0.915,0.055,0.0025,-24.3625,7.712551696544731,0.9460000000000001,0.0025,0.524375280703501,0.055,0.30726835986075973,-0.010000000000000002,0.0,0.135,0.35,0.33,0.0095,2.33,0.4552779920004918,1.51175350588188
2025-10-14,0.0295,0.915,0.055,0.0025,-24.2875,7.647523067144029,0.9445,0.0025,0.5189687199423267,0.055,0.30726835986075973,0.0,-0.0049999999999999975,0.115,0.36,0.385,0.0115,2.4695,0.34644113912034163,1.4937064363518957
2025-10-15,0.024,0.935,0.045,0.0025,-24.5125,6.998603504673271,0.9590000000000001,0.0025,0.4427354842084049,0.055,0.30726835986075973,0.0,-0.0049999999999999975,0.12,0.35,0.395,0.0035,2.4599999999999995,0.3533618541948186,1.4550521553770197
2025-10-16,0.02,0.945,0.0315,0.0025,-24.5625,6.186095484532226,0.965,0.0025,0.36874966009474086,0.055,0.30726835986075973,0.0,-0.010000000000000002,0.12,0.365,0.39,0.0155,2.5235000000000003,0.30074246229124313,1.520765450220128
2025-10-17,0.038,0.935,0.0275,0.0025,-25.2125,6.868358917437993,0.9730000000000001,0.0025,0.4341190909314464,0.06,0.32744491915447627,0.0049999999999999975,-0.0050000000000000044,0.135,0.35,0.415,0.0065,2.5675,0.26150810814389674,1.4938950777478583
2025-10-18,0.0295,0.945,0.0245,0.0025,-25.0375,6.324666659941455,0.9744999999999999,0.0025,0.3797886391573938,0.055,0.30726835986075973,-0.0049999999999999975,0.0,0.145,0.37,0.41,0.0065,2.6359999999999997,0.19995505494985635,1.5092904037543828
2025-10-19,0.027,0.945,0.0265,0.0025,-24.9125,6.298847228362504,0.972,0.0025,0.3782322535477213,0.055,0.30726835986075973,0.0,0.0,0.16,0.37,0.4,0.005,2.6430000000000002,0.19156412764398215,1.520736554201711
2025-10-20,0.0255,0.945,0.026,0.0025,-24.8375,6.1983217360629155,0.9704999999999999,0.0025,0.37061426069079406,0.055,0.30726835986075973,0.0,0.0,0.135,0.385,0.41,0.0035,2.642,0.19443532086532012,1.47612180640659
2025-10-21,0.019,0.955,0.0235,0.0025,-24.7625,5.723293959775262,0.974,0.0025,0.320850142263445,0.055,0.30726835986075973,0.0,0.0,0.16,0.385,0.375,0.011,2.6304999999999996,0.20142532797540655,1.5553977468155271
2025-10-22,0.017,0.96,0.0225,0.0015,-24.8125,5.328508600560761,0.977,0.0015,0.2937040904428162,0.05,0.28639695711595625,-0.0049999999999999975,-0.009999999999999995,0.13,0.425,0.385,0.0115,2.6919999999999997,0.15070864606916234,1.5115492457827975
2025-10-23,0.0145,0.9605,0.0235,0.0015,-24.7,5.23545604508337,0.975,0.0015,0.28564332604649223,0.06,0.32744491915447627,0.009999999999999995,0.0049999999999999975,0.13,0.445,0.395,0.008,2.7664999999999997,0.09246761865647896,1.487514842690435
2025-10-24,0.015,0.962,0.0225,0.0015,-24.7625,5.2076170324103135,0.977,0.0015,0.2818854250073416,0.055,0.30726835986075973,-0.0049999999999999975,0.0,0.125,0.435,0.39,0.0055,2.703,0.14040904351216132,1.4684790101768104
2025-10-30,0.009,0.9795,0.0115,0.0005,-24.925,3.7490002417311206,0.9885,0.0005,0.17000119151568016,0.045,0.2647650339356807,0.0,-0.0050000000000000044,0.41,0.425,0.42,0.425,4.789999999999999,2.5171388519507607,2.1023264636439976
2025-10-31,0.009,0.9795,0.0115,0.0005,-24.925,3.7490002417311206,0.9885,0.0005,0.17000119151568016,0.04,0.24229218908241482,-0.0049999999999999975,-0.0049999999999999975,0.065,0.2,0.34,0.31,2.6514999999999995,0.25141461522751657,1.7736759907421829
