Date,Close,VIX_log
11/12/2018,21.76000023,3.080073433
12/12/2018,21.45999908,3.066190695
13/12/2018,20.64999962,3.027715301
14/12/2018,21.62999916,3.074081201
17/12/2018,24.52000046,3.19948913
18/12/2018,25.57999992,3.241810793
19/12/2018,25.57999992,3.241810793
20/12/2018,28.37999916,3.345684642
21/12/2018,30.11000061,3.404857363
24/12/2018,36.06999969,3.585461486
26/12/2018,30.40999985,3.414771497
27/12/2018,29.95999908,3.399863128
28/12/2018,28.34000015,3.34427424
31/12/2018,25.42000008,3.235536269
02/01/2019,23.21999931,3.145013947
03/01/2019,25.45000076,3.236715773
04/01/2019,21.37999916,3.062455866
07/01/2019,21.39999962,3.063390904
08/01/2019,20.46999931,3.018960366
09/01/2019,19.97999954,2.99473175
10/01/2019,19.5,2.970414466
11/01/2019,18.19000053,2.900872022
14/01/2019,19.06999969,2.948116404
15/01/2019,18.60000038,2.923161601
16/01/2019,19.04000092,2.946542077
17/01/2019,18.05999947,2.893699518
18/01/2019,17.79999924,2.879198414
22/01/2019,20.79999924,3.03495295
23/01/2019,19.52000046,2.971439604
24/01/2019,18.88999939,2.938632649
25/01/2019,17.42000008,2.857618976
28/01/2019,18.87000084,2.937573404
29/01/2019,19.12999916,2.95125774
30/01/2019,17.65999985,2.871302187
31/01/2019,16.56999969,2.807593813
01/02/2019,16.13999939,2.781300625
04/02/2019,15.72999954,2.755569688
05/02/2019,15.56999969,2.745345966
06/02/2019,15.38000011,2.733067972
07/02/2019,16.37000084,2.795450443
08/02/2019,15.72000027,2.754933804
11/02/2019,15.97000027,2.770711979
12/02/2019,15.43000031,2.736313686
13/02/2019,15.64999962,2.750470893
14/02/2019,16.21999931,2.786245006
15/02/2019,14.90999985,2.702032119
19/02/2019,14.88000011,2.700018037
20/02/2019,14.02000046,2.640484914
21/02/2019,14.46000004,2.671386219
22/02/2019,13.51000023,2.603430169
25/02/2019,14.85000038,2.697999891
26/02/2019,15.17000008,2.719319798
27/02/2019,14.69999981,2.687847481
28/02/2019,14.77999973,2.693274897
01/03/2019,13.56999969,2.607861451
04/03/2019,14.63000011,2.683074223
05/03/2019,14.73999977,2.690564871
06/03/2019,15.73999977,2.756205228
07/03/2019,16.59000015,2.808800113
08/03/2019,16.04999924,2.775708802
11/03/2019,14.32999992,2.662355237
12/03/2019,13.77000046,2.622492346
13/03/2019,13.40999985,2.596000686
14/03/2019,13.5,2.602689685
15/03/2019,12.88000011,2.55567573
18/03/2019,13.10000038,2.572612259
19/03/2019,13.56000042,2.607124313
20/03/2019,13.90999985,2.632607995
21/03/2019,13.63000011,2.612273254
22/03/2019,16.47999954,2.802147497
25/03/2019,16.32999992,2.793003902
26/03/2019,14.68000031,2.686486044
27/03/2019,15.14999962,2.718000507
28/03/2019,14.43000031,2.669309394
29/03/2019,13.71000004,2.618125496
01/04/2019,13.39999962,2.595254678
02/04/2019,13.35999966,2.592265142
03/04/2019,13.73999977,2.62031127
04/04/2019,13.57999992,2.608598117
05/04/2019,12.81999969,2.551006428
08/04/2019,13.18000031,2.578700552
09/04/2019,14.27999973,2.658859938
10/04/2019,13.30000019,2.58776405
11/04/2019,13.02000046,2.566486672
12/04/2019,12.01000023,2.485739655
15/04/2019,12.31999969,2.511223933
16/04/2019,12.18000031,2.499795287
17/04/2019,12.60000038,2.533696844
18/04/2019,12.09000015,2.492378677
22/04/2019,12.42000008,2.519308083
23/04/2019,12.27999973,2.507971901
24/04/2019,13.14000034,2.575661039
25/04/2019,13.25,2.583997552
26/04/2019,12.72999954,2.543961377
29/04/2019,13.10999966,2.573375272
30/04/2019,13.11999989,2.574137775
01/05/2019,14.80000019,2.694627194
02/05/2019,14.42000008,2.668616137
03/05/2019,12.86999989,2.554899013
06/05/2019,15.43999958,2.736961517
07/05/2019,19.31999969,2.961140813
08/05/2019,19.39999962,2.965273046
09/05/2019,19.10000038,2.949688355
10/05/2019,16.04000092,2.77508566
13/05/2019,20.54999924,3.022860904
14/05/2019,18.05999947,2.893699518
15/05/2019,16.44000053,2.799717422
16/05/2019,15.28999996,2.727199017
17/05/2019,15.96000004,2.770085594
20/05/2019,16.30999947,2.791778384
21/05/2019,14.94999981,2.704711287
